GSM15785.cel.gz	GSM15786.cel.gz	GSM15787.cel.gz	GSM15788.cel.gz	GSM15789.cel.gz	GSM15790.cel.gz	GSM15791.cel.gz	GSM15792.cel.gz	GSM15794.cel.gz	GSM15795.cel.gz
203638_s_at	0.06383158	0.05968081	0.04029995	-0.03396012	-0.01499962	0.11370998	0.02611901	0.07890035	0.02165133	-0.02351671
203639_s_at	-0.06286305	-0.0304708	-0.02559036	-0.04176166	-0.02791659	-0.02054251	-0.03220202	-0.06736887	-0.05659062	-0.1139323
203640_at	0.57033165	0.9480903	0.59421247	0.42577796	0.43543896	1.02537291	0.88557995	0.82116742	0.99754205	0.41185084
203641_s_at	-0.11194272	-0.05898676	-0.03480825	-0.099172	-0.00948066	0.00990356	-0.07776011	-0.13988572	0.00017139	-0.12547155
203642_s_at	0.50842792	0.43627662	0.5728588	0.4684697	0.59077304	0.63968193	0.51958436	0.39132612	0.60082889	0.49868755
203643_at	0.38147313	0.39530764	0.30611498	0.25313055	0.26309789	0.5705099	0.49174011	0.38877039	0.44151231	0.37690214
203644_s_at	0.33905519	0.16521565	0.28626289	0.1228014	0.16919816	0.37808835	0.17568736	0.07853674	0.35572414	0.13076576
203645_s_at	-0.23718639	-0.20819931	-0.20410156	-0.24602215	-0.20953604	-0.18389079	-0.23677619	-0.20697996	-0.23081888	-0.20177069
203646_at	0.55034686	0.46469363	0.55001015	0.37310376	0.50403313	0.55157181	0.44723498	0.35936501	0.56502873	0.36546483
203647_s_at	1.05035734	1.22150733	1.13360051	0.97946722	1.15164513	1.17871573	1.1133558	1.01230344	1.13135402	0.94356677
203648_at	1.14095788	0.88661627	1.12462755	0.97739511	1.0335243	1.20149081	1.0169056	0.84964738	1.10483272	1.00792311
203649_s_at	-0.01160425	-0.00653194	0.02884252	-0.02818547	-0.00933746	0.04421494	0.01139479	0.00370315	-0.01163405	-0.02217417
203650_at	0.4719802	0.42907065	0.42732946	0.40251573	0.38068779	0.51834153	0.45842619	0.36345225	0.67876853	0.29048934
203651_at	0.60313709	0.29915098	0.50222559	0.38875115	0.40428237	0.54077738	0.3651263	0.33099324	0.51135169	0.39329059
203652_at	0.64125498	0.3911184	0.46414648	0.44938595	0.36746747	0.5535129	0.49022377	0.42615373	0.51918605	0.48418702
203653_s_at	0.81736563	0.73085024	0.85737995	0.74807808	0.75103623	0.88308518	0.75238413	0.74704149	0.86097934	0.63117106
203654_s_at	1.26174026	1.11844382	1.35892123	1.14109936	1.23096684	1.4481782	1.16902495	1.00833824	1.36142597	1.131043
203655_at	0.26819645	0.09199701	0.1896479	0.10262716	0.12527653	0.28934916	0.16770527	0.1034881	0.34629758	0.11634061
203656_at	0.45342378	0.39332855	0.41361615	0.34630227	0.40953212	0.47758681	0.3779282	0.38553682	0.4127534	0.37454685
203657_s_at	0.24644855	0.06142656	0.2480233	0.13832285	0.14494263	0.17179141	0.07313925	0.08388061	0.12509683	0.22698097
203658_at	0.34967171	0.28122544	0.36331936	0.25674548	0.3380209	0.45099545	0.27482186	0.16733939	0.37946151	0.32851498
203659_s_at	0.6496798	0.52964231	0.67553185	0.43588077	0.60051739	0.72494874	0.58479478	0.44454333	0.73951971	0.44289686
203660_s_at	1.05425188	0.96425685	0.96942839	0.8035803	0.85345712	1.20606917	1.05122901	0.96420964	1.09618509	0.86936838
203661_s_at	-0.1258973	-0.14368478	-0.13247803	-0.14762604	-0.13402072	-0.13208275	-0.16876863	-0.13260707	-0.154916	-0.13459794
203662_s_at	0.18385638	0.17110565	0.17478944	0.12569335	0.16078333	0.1888303	0.11910388	0.15007526	0.14010898	0.17452268
203663_s_at	2.79868012	2.80726189	2.73115909	2.83762955	2.76480579	2.60324797	2.89203466	2.80052254	2.70295413	2.87946145
203664_s_at	1.02385564	0.89983111	1.06593926	0.82575996	1.00462134	1.11873033	0.92552818	0.75610238	1.07560774	0.83920655
203665_at	0.31257651	0.05047201	1.12349	0.20550732	0.1839255	0.37519829	0.35181591	0.35122289	0.47404946	0.09133583
203666_at	0.06293238	0.18490941	0.09916397	0.04036266	0.06998357	0.04106264	0.13582556	0.32258778	0.06331237	0.10697096
203667_at	2.44009209	2.20826887	2.32866396	2.46502843	2.24243859	2.25502086	2.36766917	2.23394777	2.42109219	2.30454707
203668_at	0.47042594	0.14983652	0.3124765	0.18607566	0.20562518	0.35361541	0.21045567	0.07254288	0.33573609	0.22002484
203669_s_at	0.08744473	0.0726475	-0.01291296	-0.01996243	-0.0166496	0.16602134	0.06404696	-0.03924666	0.05202699	-0.0448962
203670_at	-0.15855143	-0.1303613	-0.19150934	-0.16640624	-0.20199047	-0.21950429	-0.20623644	-0.08857399	-0.18050297	-0.22506053
203671_at	0.63278538	0.42473272	0.57292868	0.46044403	0.48195251	0.66015938	0.45431055	0.37467484	0.52892996	0.47945223
203672_x_at	0.51740637	0.51326282	0.59257787	0.36662578	0.49879611	0.48814248	0.48515076	0.37712132	0.65007734	0.31978589
203673_at	-0.05309313	-0.03947455	-0.0534021	-0.04854297	-0.10854804	0.04492305	-0.0524394	-0.09166444	-0.04331319	-0.03650025
203674_at	0.72611605	0.72555834	0.68476521	0.50589196	0.65289947	0.87924302	0.72613052	0.64835334	0.79843191	0.56609843
203675_at	0.83439344	0.83624342	0.87946338	1.00156492	1.06905229	0.90780281	0.98631467	0.93374724	1.03549509	0.9750626
203676_at	-0.04396367	0.18656104	0.05335603	-0.07378353	-0.00217218	0.30111252	0.07319595	-0.03602962	0.13898317	-0.05268865
203677_s_at	0.93573504	0.76691922	0.79190937	0.69016097	0.74481606	0.90693704	0.80534415	0.72344219	0.92974399	0.73495203
203678_at	0.64991599	0.39928066	0.5550066	0.48729051	0.52297777	0.57121044	0.49274071	0.46427687	0.53614133	0.53658515
203679_at	0.98996251	0.66273549	0.80003467	0.75315749	0.74304734	0.87323751	0.66960099	0.65003039	0.90927346	0.69692906
203680_at	0.2227229	0.37506992	0.34264029	0.12989902	0.24299128	0.55990632	0.38015282	0.30453504	0.45499979	0.19376298
203681_at	-0.20840242	-0.25346835	-0.28266541	-0.26739862	-0.31679942	-0.23543907	-0.26172063	-0.3048055	-0.21751635	-0.29960486
203682_s_at	0.64470322	0.52781466	0.71624876	0.40224196	0.59428333	0.72456076	0.52294944	0.34005474	0.69360888	0.4630756
203683_s_at	0.17954592	0.04834189	0.06447869	0.01648453	0.00338618	0.23369724	0.09085041	0.01190325	0.08066063	0.03975036
203684_s_at	0.23869817	0.17110674	0.25510162	0.21538748	0.14319366	0.22096958	0.1688377	0.22703221	0.2034776	0.22609453
203685_at	-0.00594894	-0.0433261	-0.0321382	-0.0542132	-0.065485	-0.02120963	-0.04000393	-0.10662175	-0.02303891	-0.0680579
203686_at	0.70327999	0.33343687	0.53197281	0.44395812	0.49716012	0.49927106	0.3827528	0.30356275	0.47124968	0.47828135
203687_at	-0.07919327	-0.05600704	-0.07226368	-0.12228046	-0.10895567	-0.09560026	-0.08273478	-0.11926746	-0.05594859	-0.16082892
203688_at	1.11370195	0.80020883	1.12520131	0.86976594	0.99430175	1.06036789	0.86323724	0.77462411	1.00677113	0.95908665
203689_s_at	0.63481049	1.08739661	0.81771492	0.64886191	0.78934563	1.02735336	0.96353869	0.88161771	0.93563301	0.55196524
203690_at	0.88149053	0.95221201	0.87385291	0.63505705	0.87884877	1.13243435	1.04847876	0.72156543	1.15444996	0.66321881
203691_at	-0.15486828	-0.23607298	-0.15459648	-0.17750351	-0.11598426	-0.19087053	-0.1835341	-0.19535517	-0.18358362	-0.19860626
203692_s_at	1.30104827	0.828895	1.22557851	1.27352047	1.04279851	1.13912852	1.17735965	1.05916105	1.17549929	1.30077294
203693_s_at	1.39110741	0.97113293	1.44002081	1.46903538	1.2181766	1.3398717	1.37526511	1.19975337	1.44441078	1.44571645
203694_s_at	1.03734915	1.13802837	1.10557909	0.79266928	1.00799036	1.2579666	1.05413607	0.95514882	1.23776678	0.8890679
203695_s_at	1.56989816	1.52968231	1.52209657	1.50059611	1.58368697	1.62513038	1.52160759	1.34096064	1.54128979	1.40287281
203696_s_at	0.8384659	0.87592692	0.86440404	0.65060904	0.81377294	0.90643713	0.78302563	0.78823226	0.90268876	0.67901212
203697_at	-0.06701466	-0.0648361	-0.07822204	-0.07470977	-0.0887952	-0.07586009	-0.07860372	0.03085088	-0.14268752	-0.05796228
203698_s_at	-0.1748549	-0.07727234	-0.11064239	-0.13516734	-0.06957023	-0.09862507	-0.11122057	-0.13544398	-0.16751656	-0.11500729
203699_s_at	-0.14125374	-0.08384489	-0.11809109	-0.11302617	-0.13719648	-0.06599784	-0.0984205	-0.11103846	-0.06813324	-0.12727232
203700_s_at	-0.11271867	-0.14830133	-0.07349567	-0.10460468	-0.13890811	-0.0438904	-0.10435964	-0.15954319	-0.10371477	-0.07569797
203701_s_at	1.0031627	0.82928893	0.91286597	0.88825759	0.92834191	1.06716935	0.94533664	0.7324581	1.02203629	0.85381698
203702_s_at	0.4471562	0.46420047	0.5211362	0.31489189	0.37972333	0.57775506	0.4610212	0.36432311	0.52265906	0.40383491
203703_s_at	0.03378766	-0.03519107	0.06946057	-0.01016876	0.00703938	0.1251194	-0.00495889	-0.01998242	0.10620277	0.03493021
203704_s_at	0.92939685	0.53634395	1.00518228	0.72935604	0.8027233	0.91262606	0.71095894	0.54291343	0.88343872	0.74677514
203705_s_at	0.53286529	0.62332634	0.7694045	0.51142019	0.49983449	0.75482515	0.60344885	0.58293482	0.74139929	0.54615523
203706_s_at	0.81692896	0.66345144	0.85050205	0.56619773	0.72565153	0.8533146	0.74527635	0.55547543	0.90729319	0.60391366
203707_at	0.76583782	0.65738905	0.76577653	0.66370363	0.68303371	0.80273422	0.68839433	0.60864788	0.79290105	0.71752874
203708_at	-0.03361649	-0.02745999	-0.07097973	-0.05275804	-0.04287355	0.12543446	0.00467451	-0.02372964	-0.03379655	0.0253222
203709_at	0.51150498	0.39021895	0.44954814	0.3288824	0.38388333	0.59977678	0.39796983	0.34414391	0.5029858	0.38197776
203710_at	0.26916546	0.00602886	0.33953507	0.2226486	0.14871692	0.26429468	0.1988433	0.06907279	0.29518549	0.0701958
203711_s_at	-0.02548009	0.08074229	0.0227861	-0.07810268	-0.07770285	0.23587086	0.05088813	0.00137325	0.22721593	-0.04185249
203712_at	1.73993465	1.58496281	1.74373648	1.80003004	1.780382	1.6317277	1.69682126	1.60000995	1.72480704	1.71848159
203713_s_at	0.07679919	0.08214423	-0.00430582	0.03363816	0.01049851	0.06618236	0.03988362	0.06997814	-0.00299355	0.05121388
203714_s_at	0.99111546	0.90154874	0.94648261	0.83006711	0.83663424	1.14065442	0.99163507	0.87302593	1.10990819	0.75867487
203715_at	0.25497697	0.34874999	0.30174089	0.0989096	0.23025893	0.48300598	0.25049458	0.1606696	0.43498872	0.12564514
203716_s_at	-0.01232232	0.02909432	0.04352902	-0.01314096	-0.02895213	0.10290272	0.01917966	0.08582865	0.00978162	0.09539035
203717_at	-0.0177813	-0.06605153	-0.01278076	-0.01564123	-0.02980399	-0.0057728	-0.02690685	-0.07351055	-0.05989102	-0.04677573
203718_at	0.61824447	0.5603777	0.47149339	0.37971916	0.45905276	0.67095799	0.51741072	0.40463095	0.60382541	0.46894645
203719_at	1.09692039	0.75979634	0.90618211	0.90003921	0.78194889	0.95571908	0.93295711	0.82993536	1.00934519	0.86714561
203720_s_at	1.10134292	0.90552183	1.05887584	0.84344994	0.95592066	1.06301635	0.97121787	0.85043466	1.0950084	0.89750821
203721_s_at	2.08003484	2.03546512	2.10396956	2.00780481	2.02942727	2.09517103	2.06847309	1.93429677	2.09217096	1.9860415
203722_at	0.00988838	0.04472743	-0.02199831	-0.05604302	-0.01332971	0.01020768	-0.05077536	-0.02286245	-0.03949357	-0.00926378
203723_at	0.09346406	0.02014107	0.0776549	0.03247475	0.11678372	0.11732318	0.08148292	-0.01198921	0.06668659	0.02716982
203724_s_at	-0.07760295	-0.15233247	-0.1034342	-0.07919681	-0.10670024	-0.09852348	-0.09561531	-0.14871988	-0.08211684	-0.12093273
203725_at	1.90063862	1.59966864	1.92740019	1.61532521	1.66311991	1.66640126	1.61214453	1.47885903	1.71781496	1.62675336
203726_s_at	-0.01684084	-0.08115496	-0.05878963	-0.07866335	-0.09497479	0.01852326	-0.1063349	-0.05843853	-0.08313333	-0.09580753
203727_at	1.08543777	1.01489318	0.97169174	0.93204069	0.97247045	1.11839739	1.03347757	0.85984603	1.08506659	0.96671253
203728_at	0.46119282	0.40335664	0.56529942	0.45785446	0.46472946	0.56164931	0.41601347	0.41642404	0.5811639	0.43373139
203729_at	2.04334207	1.58268676	1.90319187	1.82406987	1.81982974	1.65082685	1.59704395	1.53280264	1.61381016	1.93100061
203730_s_at	0.11731635	0.19772935	0.17509152	0.0045756	0.11487606	0.37127754	0.19283643	0.13506192	0.3503208	0.02475795
203731_s_at	0.11912074	0.04313678	0.03652702	-0.03651424	0.01832221	0.16324252	0.02944438	-0.00487742	0.18401719	-0.03229004
203732_at	0.91301706	0.79141397	0.89108293	0.74637079	0.84190242	0.98257384	0.84394091	0.74787946	1.03537474	0.72071962
203733_at	0.48362748	0.29653899	0.43574136	0.37805567	0.42669291	0.46243736	0.36291366	0.27897092	0.46305971	0.35902026
203734_at	0.51425359	0.46311601	0.51549698	0.49565537	0.43306543	0.60986305	0.50533116	0.62462547	0.56684578	0.46698294
203735_x_at	0.58825305	0.61693445	0.68063191	0.59840724	0.65236585	0.73384545	0.77965359	0.59661951	0.74480112	0.60835273
203736_s_at	-0.12822501	-0.01304458	-0.04144035	-0.07393992	-0.08031725	0.09653467	0.0146171	-0.0613887	0.08562244	-0.08309653
203737_s_at	1.31004674	0.96522937	1.26014165	1.11618728	1.10423394	1.19872038	1.09400321	0.92244646	1.26702414	1.10460417
203738_at	1.53488785	1.53234104	1.61578768	1.4617368	1.5551671	1.63878003	1.53128283	1.48005471	1.57947612	1.49986178
203739_at	0.96404307	1.10358999	0.92452812	0.82004451	0.91915577	1.06766092	1.03327561	1.15464072	1.04850338	0.77233313
203740_at	1.43010417	1.44943474	1.44184023	1.36176888	1.40511565	1.53452859	1.47852465	1.45668823	1.49751366	1.32620074
203741_s_at	0.12892655	-0.01041571	0.07684272	0.07416592	0.02695061	0.16831859	0.06048065	0.02692803	0.11712703	0.01431474
203742_s_at	0.59321972	0.34872227	0.48784456	0.53096156	0.48430279	0.45787187	0.47713043	0.35664042	0.48082665	0.48695979
203743_s_at	1.30330508	1.23408943	1.33515669	1.44913926	1.20938896	1.18176363	1.36793144	1.20471938	1.23389144	1.24336021
203744_at	0.91898335	1.11953637	0.90264556	0.79800964	0.85698715	1.29900101	1.10980171	1.02633841	1.34932065	0.78166344
203745_at	0.81504746	0.8343907	0.82516119	0.73966252	0.72622689	1.00639001	0.81885998	0.73458122	0.95376674	0.72259434
203746_s_at	1.11967877	1.27928417	1.2027365	1.05069635	1.06694755	1.39774136	1.21778355	1.0166068	1.38160364	1.00971021
203747_at	0.17988055	0.2170898	0.10796488	0.07004966	0.15277749	0.20188317	0.11659791	0.24981439	0.14451879	0.09257387
203748_x_at	1.84021382	1.44569287	1.90617918	1.71914544	1.95633503	1.69410755	1.67844972	1.43430698	1.64406217	1.78787992
203749_s_at	0.46857751	0.4143092	0.37048789	0.33042153	0.34305441	0.50668426	0.53472664	0.42195186	0.48454051	0.36303662
203750_s_at	0.09423076	-0.02689593	0.08388412	0.01856383	0.08253479	0.11794396	0.04288105	-0.02548573	0.13117712	0.05758183
203751_x_at	-0.09396841	-0.27057309	-0.10197599	-0.27292162	-0.22752195	-0.05855722	-0.25972091	-0.32691767	-0.12224937	-0.27953494
203752_s_at	2.02389601	1.85361698	1.7615325	1.84894357	1.62933929	1.8354751	1.93854046	1.85066745	1.82820492	2.04408476
203753_at	0.63976095	0.53869686	0.5479898	0.50282771	0.42874875	0.72426431	0.54736835	0.53501612	0.65675773	0.54556079
203754_s_at	0.36662256	0.23289612	0.2703243	0.14215158	0.22698265	0.34089652	0.26191149	0.23790908	0.33766722	0.24983294
203755_at	1.89020877	2.08283925	1.9881031	1.81790321	1.84151557	2.07963151	2.01371338	1.99498741	2.05511799	1.85683628
203756_at	0.61077662	0.65226624	0.59721556	0.47194129	0.52316996	0.73515958	0.65615341	0.65268135	0.64509401	0.5605778
203757_s_at	-0.13380414	-0.05485303	-0.20316926	-0.18224552	-0.20411417	-0.19725357	-0.14827938	-0.01653197	-0.2548699	-0.10375474
203758_at	0.14101032	-0.04339788	0.1485176	-0.0057075	0.10426455	0.02176213	-0.04637035	-0.04817232	0.00911236	0.05132403
203759_at	0.07491378	-0.05831453	0.06841266	-0.01379328	0.03640808	0.11558129	0.00352616	-0.0779317	0.08745964	0.05994213
203760_s_at	0.16974745	0.09265583	0.13906543	0.12699197	0.20537764	0.1777745	0.08802917	0.09213343	0.17270442	0.07395048
203761_at	0.09878706	0.16677133	0.10506456	0.06464231	0.03781979	0.1421346	0.10218856	0.16363096	0.04628185	0.03223849
203762_s_at	0.09749009	0.06711296	0.09693621	-0.00225703	0.05016293	0.13084757	0.03211908	0.06743603	0.128066	-0.00168962
203763_at	0.13025566	0.03183303	0.15135514	0.0529363	0.06908713	0.20394244	0.10048362	0.04391399	0.24973563	0.028287
203764_at	1.40050744	1.54588769	1.38330311	1.23911753	1.35992398	1.74672993	1.64972042	1.47222987	1.84598548	1.07387241
203765_at	-0.07932374	-0.11422067	-0.10394084	-0.0702851	-0.07814623	-0.03427366	-0.06817152	-0.11854011	-0.0156377	-0.09830034
203766_s_at	-0.01827167	-0.05282657	-0.0028896	-0.08996416	-0.11653372	0.02489047	-0.0624585	-0.0791207	-0.0025178	-0.10184845
203767_s_at	0.12121103	0.00993284	0.13419364	-0.01089312	0.02347914	0.23155797	0.06149528	0.00571454	0.17182643	-0.01335635
203768_s_at	0.03340484	0.12971829	0.07135438	0.03645706	0.01215752	0.1239615	0.05877334	0.15961981	0.0849107	0.09384291
203769_s_at	0.10649009	-0.01683233	0.04331985	0.0018547	0.00598115	0.1400556	-0.00312416	-3.905e-05	0.02172297	0.03427634
203770_s_at	-0.12979212	-0.17622538	-0.18398	-0.14096149	-0.16764911	-0.14281478	-0.16614567	-0.19405842	-0.173261	-0.17255083
203771_s_at	-0.06607188	0.12663915	0.07998407	-0.02304883	0.06097324	0.15307289	0.00500607	-0.05554519	0.14608268	-0.04676474
203772_at	-0.01796727	0.00580851	-0.01186164	-0.01840613	-0.0551125	0.03558119	-0.02492501	0.02504563	0.02026985	-0.0301293
203773_x_at	1.15114432	1.1302873	1.10625387	1.13501389	1.09987906	1.11599436	1.09340131	1.11235869	1.16286046	1.08255656
203774_at	0.87727307	0.77062731	0.9486839	0.69387312	0.73706331	1.14244393	0.87109528	0.6985105	1.051858	0.76066598
203775_at	1.14969143	1.17720313	1.03448058	0.92986558	0.85344094	1.37334308	1.21474042	1.13909205	1.33219146	0.93388159
203776_at	0.86485411	0.89366048	0.87383185	0.73215001	0.81357654	1.02016153	0.86894435	0.73785194	1.00956593	0.71630667
203777_s_at	0.90463686	0.70192641	0.759138	0.74113747	0.75296035	0.86907095	0.7803778	0.67456312	0.86763697	0.75340308
203778_at	0.16696854	-0.01512705	0.11326196	0.07289623	0.0278622	0.18239073	0.0579651	0.00211965	0.10868198	0.0533146
203779_s_at	-0.03685495	-0.1209408	-0.13569738	-0.10687104	-0.10303796	-0.14981779	-0.12957098	-0.03671598	-0.15404955	-0.09507425
203780_at	0.02009002	-0.03229734	-0.13152694	-0.10233077	-0.1807223	-0.1057344	-0.14918082	-0.05167335	-0.12140101	-0.12398807
203781_at	1.8949601	1.67548109	1.67200755	1.56987992	1.53868725	1.8766833	1.62105184	1.66482793	1.86604892	1.57570027
203782_s_at	0.96038146	0.6922332	0.91160396	0.77023813	0.84524012	1.03707717	0.87145326	0.65404901	0.9310935	0.76358164
203783_x_at	-0.40215187	-0.32479378	-0.3623694	-0.35439314	-0.37526666	-0.31472072	-0.37656518	-0.40430069	-0.34117319	-0.41281032
203784_s_at	-0.40834435	-0.43989418	-0.39730012	-0.50874894	-0.41426172	-0.33512894	-0.43287785	-0.47144753	-0.29451447	-0.463412
203785_s_at	0.57142683	0.46824744	0.64096865	0.44582874	0.56745719	0.70602915	0.58774236	0.39972973	0.66698051	0.46637341
203786_s_at	1.08312893	0.9195838	1.03078255	0.87067911	1.03511389	1.02145172	0.90621581	0.79214695	0.99717458	0.96073015
203787_at	0.00655437	0.11335916	-0.00224499	0.01224317	-0.00288258	0.09656464	0.09473121	0.13713672	0.0712816	0.01682793
203788_s_at	0.02826902	0.08853245	0.07987189	0.09114314	0.0996527	0.16587577	0.07357279	-0.00291212	0.14653415	0.07089881
203789_s_at	0.2759012	0.36809512	0.31879454	0.20353736	0.35716868	0.52234286	0.31614769	0.30674187	0.45324072	0.16238002
203790_s_at	0.33349885	0.50974026	0.44087867	0.25253549	0.45811805	0.66154149	0.39748275	0.30138322	0.63064824	0.26954696
203791_at	0.10616123	0.20349141	0.07290754	-0.02978536	0.05431561	0.27663751	0.16147606	0.11252902	0.30831127	-0.03250233
203792_x_at	0.62446435	0.46606007	0.48539043	0.33159051	0.39944004	0.70573763	0.55734664	0.43791026	0.57700898	0.50560438
203793_x_at	0.42968458	0.35227752	0.46073651	0.31639236	0.35936431	0.50382064	0.35504365	0.33986178	0.49980951	0.35478235
203794_at	0.6830525	0.60547457	0.60864996	0.50280771	0.66418314	0.71513821	0.64250821	0.50812422	0.65147248	0.56163756
203795_s_at	0.52162631	0.29576546	0.45626972	0.33732261	0.42351671	0.45137259	0.36860614	0.31994129	0.3150739	0.42518291
203796_s_at	0.51815983	0.27851777	0.68922188	0.57904469	0.4768815	0.59482598	0.46457148	0.42613593	0.50119312	0.6302512
203797_at	0.08682621	0.21963447	0.1108693	0.1247602	0.09689921	0.15089343	0.18490955	0.32715983	0.07485325	0.09625147
203798_s_at	-0.14278541	-0.09980779	-0.25914962	-0.22076645	-0.20749939	-0.17762629	-0.17635693	-0.15240343	-0.23847453	-0.27920927
203799_at	-0.05561091	-0.11519135	-0.03020013	-0.11363512	-0.03242896	0.04623253	-0.05510351	-0.11557312	0.01196068	-0.11951085
203800_s_at	1.04769634	1.17719559	0.94418566	0.82662707	0.92449368	1.24821507	1.15331035	1.13156023	1.18418158	0.91857109
203801_at	-0.01335991	0.0114146	0.00041637	-0.07963904	-0.0617945	0.11375069	-0.01277828	-0.04737743	0.04227366	-0.10488607
203802_x_at	1.02849821	0.83395588	0.91325812	0.86445898	1.00255334	0.98832172	0.89935982	0.73419181	1.00287478	0.85290559
203803_at	0.07861316	0.09453196	0.13425451	-0.00342142	0.00869232	0.30463758	0.11972224	0.03013319	0.27991412	-0.04216707
203804_s_at	1.56761248	1.23067553	1.53540887	1.62020198	1.4233365	1.36951603	1.39712663	1.31591656	1.53278927	1.5216532
203805_s_at	0.19188027	0.17385736	0.12407739	0.05425271	0.08342439	0.28872705	0.16216619	0.06177668	0.23709166	0.12572715
203806_s_at	0.36387119	0.21883898	0.33285965	0.30357155	0.26042348	0.39002319	0.2210135	0.23303056	0.33434845	0.29809168
203807_x_at	-0.26057397	-0.27644568	-0.28587553	-0.23626975	-0.23951708	-0.31473977	-0.22451331	-0.22988607	-0.30160364	-0.29643873
203808_at	-0.34325136	-0.45513562	-0.26922203	-0.35552264	-0.32675261	-0.290522	-0.37800069	-0.38886647	-0.27388716	-0.36194002
203809_s_at	-0.17602921	0.1034394	-0.20783912	-0.16183493	-0.13241668	0.03582643	-0.08572143	-0.07986477	-0.00714332	-0.13926208
203810_at	0.42782489	0.54057732	0.43495441	0.3305572	0.41430317	0.54791626	0.51590026	0.54376849	0.55136902	0.33608643
203811_s_at	0.13308076	0.48408142	0.31557731	0.2032563	0.35072831	0.38287323	0.32426394	0.34859559	0.35944866	0.24765886
203812_at	0.05891122	0.01845253	0.1346737	0.05612979	0.01036043	0.12329684	0.08855521	0.05886357	0.07107102	0.06219733
203813_s_at	-0.13759453	-0.03539418	-0.12422583	-0.08194809	-0.10066703	-0.15424692	-0.11027847	-0.00488022	-0.15379864	-0.12942723
203814_s_at	0.60286371	0.43284165	0.51715264	0.38002083	0.3752286	0.70090415	0.4861173	0.40726502	0.65006602	0.39930174
203815_at	0.16908315	0.06639309	0.17839465	0.09115994	0.11738831	0.16602005	0.08995066	0.06485068	0.11969862	0.10102511
203816_at	0.64112668	0.64529728	0.66548547	0.43304531	0.53115552	0.78413285	0.59303407	0.48708542	0.74950765	0.50174559
203817_at	0.0293738	0.04962205	0.02907027	0.01284436	0.02410054	0.00287424	0.03512841	0.08789699	0.0022345	-0.03600127
203818_s_at	1.63224325	1.21663255	1.49924147	1.56212238	1.41212085	1.48661797	1.45175829	1.32445554	1.55775162	1.57639197
203819_s_at	1.31325905	1.38848133	1.41532739	1.33721446	1.16488937	1.59550423	1.44608643	1.47842705	1.52583178	1.22756467
203820_s_at	1.0643153	1.10377558	1.06707215	1.02833692	1.02930443	1.38289645	1.28922587	0.96140799	1.38926123	1.05545711
203821_at	1.22870074	1.14289061	1.2972048	0.9821094	1.27496206	1.0986864	1.06225356	0.89128382	1.14601451	1.1978836
203822_s_at	0.68217459	0.60969865	0.68470148	0.47645198	0.56367407	0.7978176	0.61745619	0.55677015	0.78503659	0.51927828
203823_at	0.92153583	0.64876947	0.83164455	0.70669636	0.74447504	0.88599446	0.76575154	0.61321492	0.92697531	0.75010689
203824_at	-0.2262043	-0.16627218	-0.20458061	-0.18471935	-0.13681518	-0.20951974	-0.15464903	-0.13029873	-0.19431181	-0.16053578
203825_at	1.1966048	1.01392949	1.07783104	1.05526724	1.07738588	1.08029138	1.09434275	0.99052332	1.05512372	1.11171078
203826_s_at	0.63187859	0.23838583	0.49511507	0.24304314	0.19538537	0.38093706	0.28560584	0.1918248	0.43720378	0.25881067
203827_at	0.04802807	-0.00190238	0.14131784	0.05245777	0.06467891	0.08717735	-0.00039612	-0.01441285	0.02681745	0.08000058
203828_s_at	0.25212522	0.04840692	0.18688414	0.10160006	0.27832652	0.11689763	0.05997246	0.02170906	0.13274586	0.15359116
203829_at	0.59979367	0.6231512	0.5258474	0.41535363	0.52469118	0.83012169	0.62124541	0.5621724	0.85590454	0.38322854
203830_at	-0.09411133	-0.005055	-0.07639006	-0.08277675	-0.03213417	-0.00691358	0.02971782	-0.00711024	0.05247287	-0.04904773
203831_at	0.76958395	0.57149092	0.67511776	0.69679788	0.68933017	0.76429005	0.75538114	0.71508212	0.70817096	0.73679571
203832_at	1.79724489	1.87139698	1.76242693	1.75860311	1.70872716	1.8893154	1.90654437	1.86457367	1.91285659	1.74802157
203833_s_at	0.83910243	0.41744682	0.59089531	0.57632252	0.36640578	0.72924117	0.52227599	0.40798199	0.75921634	0.49367434
203834_s_at	0.31904758	0.47161567	0.34456387	0.29456073	0.28469839	0.51948731	0.37378058	0.28402605	0.47362787	0.23739187
203835_at	-0.03992047	-0.0812888	-0.03168166	-0.12298538	-0.06990578	-0.08318637	-0.09122735	-0.14277587	-0.0277569	-0.13541567
203836_s_at	0.13704096	-0.13768458	0.10956762	0.0144646	0.03214187	0.13272509	-0.06602766	-0.07477747	0.0250191	0.03518695
203837_at	0.17717873	-0.05861714	0.10357199	0.07308175	0.09273567	0.2164932	0.00855939	-0.0112319	0.07829098	0.07949444
203838_s_at	-0.11363135	-0.01530221	-0.11377044	-0.07496287	-0.10932638	-0.08124448	-0.0111686	-0.00646384	-0.09387641	-0.09132525
203839_s_at	0.33031491	0.25526712	0.25889674	0.31939663	0.29269472	0.25165371	0.32030944	0.3574609	0.26574045	0.32728481
203840_at	0.13286698	0.11101973	0.16062673	0.1232705	0.1213844	0.16852386	0.16957352	0.12297111	0.18840038	0.09665111
